Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
51,,2020-02-05,20-342,DAL,,MEM,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,,2020-02-07,20-344,DAL,@,WAS,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,,2020-02-08,20-345,DAL,@,CHO,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,,2020-02-10,20-347,DAL,,UTA,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,44,2020-02-12,20-349,DAL,,SAC,W (+19),1,31:16,10,18,.556,3,7,.429,10,12,.833,1,11,12,8,0,0,4,3,33,28.0,+30
56,45,2020-02-21,20-358,DAL,@,ORL,W (+16),1,34:26,10,21,.476,4,8,.500,9,12,.750,0,10,10,8,1,1,6,0,33,25.4,+13
57,,2020-02-22,20-359,DAL,@,ATL,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,46,2020-02-24,20-361,DAL,,MIN,W (+16),1,25:13,7,16,.438,1,6,.167,5,8,.625,2,7,9,7,2,1,3,3,20,17.3,+1
59,47,2020-02-26,20-363,DAL,@,SAS,W (+6),1,37:09,10,25,.400,3,11,.273,3,4,.750,1,9,10,14,1,0,7,5,26,17.3,+14
60,48,2020-02-28,21-000,DAL,@,MIA,L (-8),1,38:11,7,17,.412,0,6,.000,9,9,1.000,0,4,4,10,0,0,6,4,23,14.5,+6
61,,2020-03-01,21-002,DAL,@,MIN,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
62,49,2020-03-02,21-003,DAL,@,CHI,L (-2),1,38:27,8,20,.400,1,8,.125,6,9,.667,0,5,5,9,1,0,4,3,23,14.6,+10
63,50,2020-03-04,21-005,DAL,,NOP,W (+4),1,40:57,9,20,.450,4,11,.364,8,13,.615,1,16,17,10,1,1,7,2,30,24.0,-5
64,51,2020-03-06,21-007,DAL,,MEM,W (+25),1,30:03,7,20,.350,2,8,.250,5,8,.625,0,4,4,6,2,0,1,1,21,14.6,-6
